product_title,image_url
Danny Tweed Blazer,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\top3.jpeg
Desline Linen Shirt Dress,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\top4.jpeg
Jocelin Oversize Shirt Dress,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\top10.jpeg
Malibu Skirt,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\Lana_1161-scaled-1725955034933.jpeg
Lalune Skirt,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\so-mi-tay-ngan-di-lam-lanaLana_0670-1725954911124.jpeg
Masew Jacket,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\Lana_2178-1725954091653.jpeg
Milune Shirt,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\Lana_2309-scaled-1725953970992.jpeg
Mansion Basic Blazers,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\0655-399batch_batch_DSCF6694-1725953763622.jpeg
Cable knit v mixing,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\Lana_1598-1725953090579.jpeg
Leman Linen dress,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\LN_0387-1725952773457.jpeg
Marie Sling dress,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\CUPNGUC-CARO-1725952470492.jpeg
Jisanme dress,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\top\LN_1305-1725951865437.jpeg
Classic white pearl,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\Accessory\pexels-nataliya-vaitkevich-81003662-1725955591552.jpeg
Marco Chocolate,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\07-03-24_S15_43_Marco_Chocolate_ZSR_CZ_13-29-56_0958_SG_ES-1.jpeg
HS3 black,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\07-11-23STUDIO10_CXB_14-32-04_29_HS3_Black_4398_ES-172605185.jpeg
Marcus Cargo Relaxed Shorts,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\bottom\04-10-24_S7_88_ZDF01H410092_Tan_P_CZ_DJ_15-21-50_68227_CM-17.jpeg
InterStellar,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\bottom\bottom2.jpeg
Good cargo pants,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\bottom\bottom3.jpeg
Bliss black,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\bottom\17439.jpg
Olive green pants,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\bottom\1353.jpg
57849,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\sandal\57849.jpg
58231,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\sandal\58231.jpg
59051,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\sandal\59051.jpg
59035,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\sandal\59035.jpg
59388,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\sandal\59388.jpg
Day to day slip on slider,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\07-11-23STUDIO10_CXB_14-32-04_29_HS3_Black_4398_ES-172605185.jpeg
1836,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\1836.jpg
3151,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\3151.jpg
3159,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\3159.jpg
3160,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\3160.jpg
3161,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\3161.jpg
3167,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\3167.jpg
Sand slip,C:\Projects\VS CODE PROJ\ImageSearchEngine\SearchEngine\images\shoe\07-11-23STUDIO10_CXB_14-29-45_27_HS3_Sand_4394_ES-1726051855.jpeg
